Module,Route,Content File,Source Basis,Used For,Safety Boundary,Risk Level,Needs Medical Review
EMS Hub,/ems,00_ems_hub.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Moderate,Yes if high/critical
Scene Safety,/ems/scene-safety,01_scene_safety_first_impression.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,High,Yes if high/critical
Primary Survey ABCDE,/ems/abcde,02_primary_survey_abcde.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,High,Yes if high/critical
Airway/Breathing,/ems/airway-breathing,03_airway_breathing_danger.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Critical,Yes if high/critical
Shock/Bleeding,/ems/shock-bleeding,04_circulation_shock_bleeding.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Critical,Yes if high/critical
Chest Pain,/ems/chest-pain,05_chest_pain_acs_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Critical,Yes if high/critical
Dyspnea,/ems/dyspnea,06_dyspnea_prehospital.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Critical,Yes if high/critical
Stroke/Neuro,/ems/stroke-neuro,07_stroke_neurologic_emergencies.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Critical,Yes if high/critical
Trauma,/ems/trauma,08_trauma_mechanism_risk.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Critical,Yes if high/critical
Seizure/AMS,/ems/seizure-ams,09_seizure_altered_mental_status.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,High,Yes if high/critical
Diabetic/Metabolic,/ems/diabetic-metabolic,10_diabetic_metabolic_emergencies.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,High,Yes if high/critical
Anaphylaxis,/ems/anaphylaxis,11_anaphylaxis_allergy_recognition.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Critical,Yes if high/critical
Pediatrics,/ems/pediatrics,12_pediatric_prehospital_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,High,Yes if high/critical
Pregnancy/Postpartum,/ems/pregnancy-postpartum,13_pregnancy_postpartum_ems.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Critical,Yes if high/critical
Toxicology/Overdose,/ems/toxicology-overdose,14_toxicology_overdose_ems.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Critical,Yes if high/critical
Behavioral/Self-Harm,/ems/behavioral-self-harm,15_behavioral_self_harm_safety.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,High,Yes if high/critical
ECG Danger,/ems/ecg-danger,16_ecg_danger_recognition_ems.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Critical,Yes if high/critical
ED Handover,/ems/handover,17_handover_to_ed_atmist_mist.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Moderate,Yes if high/critical
Documentation,/ems/documentation,18_documentation_timeline.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Moderate,Yes if high/critical
Infection Prevention,/ems/infection-prevention,19_infection_prevention_ppe_ems.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Moderate,Yes if high/critical
Mass Casualty,/ems/mass-casualty,20_mass_casualty_disaster_basics.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,High,Yes if high/critical
Learning Logbook,/ems/logbook,21_ems_learning_logbook.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Low,Yes if high/critical
EMS-to-Intern Interface,/ems/ems-to-intern,22_ems_to_intern_interface.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Prehospital recognition/red flags/handover concepts,No local EMS protocol; no doses; no procedure instructions,Moderate,Yes if high/critical
