Module,Route,Content File,Source Basis,Used For,Safety Boundary,Risk Level,Needs Medical Review
Resident Hub,/residents,00_resident_hub.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Moderate,Yes if high/critical
ED Leadership Mindset,/residents/leadership-mindset,01_resident_ed_leadership_mindset.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Moderate,Yes if high/critical
Resus Leadership,/residents/resus-leadership,02_resuscitation_room_leadership.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,High,Yes if high/critical
Undifferentiated Shock,/residents/shock,03_undifferentiated_shock.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
Airway Strategy,/residents/airway-strategy,04_airway_strategy_post_intubation_risk.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
Respiratory Failure,/residents/respiratory-failure,05_respiratory_failure_ventilator_thinking.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
Chest Pain/ACS/OMI,/residents/chest-pain-acs,06_chest_pain_acs_omi.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
Advanced ECG,/residents/ecg-danger,07_ecg_advanced_pattern_recognition.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
POCUS,/residents/pocus,08_pocus_resident_decision_making.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,High,Yes if high/critical
Sepsis,/residents/sepsis,09_sepsis_severe_infection.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
AMS,/residents/ams,10_altered_mental_status.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,High,Yes if high/critical
Stroke/Seizure/Neuro,/residents/neuro,11_stroke_seizure_neuro.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
Trauma Leadership,/residents/trauma,12_trauma_leadership.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
Pediatrics,/residents/pediatrics,13_pediatric_emergency_decision_making.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
OBGYN/Pregnancy,/residents/obgyn-pregnancy,14_obgyn_pregnancy_emergencies.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
Toxicology/Antidotes,/residents/toxicology,15_toxicology_antidote_reasoning.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
Metabolic/Endocrine,/residents/metabolic-endocrine,16_metabolic_endocrine_emergencies.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,High,Yes if high/critical
Renal/Electrolyte/Acid-Base,/residents/renal-electrolyte-acid-base,17_renal_electrolyte_acid_base.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,High,Yes if high/critical
Environmental,/residents/environmental,18_environmental_emergencies.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,High,Yes if high/critical
Behavioral/Self-Harm,/residents/behavioral-self-harm,19_behavioral_agitation_self_harm.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,High,Yes if high/critical
Procedures,/residents/procedures,20_procedures_decision_consent_complications.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,High,Yes if high/critical
Disposition,/residents/disposition,21_disposition_observation_safe_discharge.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Critical,Yes if high/critical
Consultation,/residents/consultation,22_consultation_referral_communication.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Moderate,Yes if high/critical
Supervision,/residents/supervision,23_supervising_interns_students.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Moderate,Yes if high/critical
Cognitive Errors/M&M,/residents/cognitive-errors,24_cognitive_errors_m_and_m.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Moderate,Yes if high/critical
Board Exam Traps,/residents/board-traps,25_board_exam_trap_framework.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Resident-level EM reasoning/red flags/disposition/exam traps,No local protocol; no doses; no copied questions; no procedural manual,Moderate,Yes if high/critical
