title,slug,route,section,file,image_brief,source_anchor
What POCUS Is—and Is Not,what-is-pocus,/pocus/roadmap/what-is-pocus,Beginner Roadmap,roadmap/what-is-pocus.md,"High-quality annotated educational ultrasound diagram/clip placeholder for What POCUS Is—and Is Not: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
"Machine, Probe, and Screen Basics",machine-probe-screen-basics,/pocus/roadmap/machine-probe-screen-basics,Beginner Roadmap,roadmap/machine-probe-screen-basics.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Machine, Probe, and Screen Basics: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Probe Marker and Image Orientation,probe-marker-orientation,/pocus/roadmap/probe-marker-orientation,Beginner Roadmap,roadmap/probe-marker-orientation.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Probe Marker and Image Orientation: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Ultrasound Artifacts as Clues,artifacts-as-clues,/pocus/roadmap/artifacts-as-clues,Beginner Roadmap,roadmap/artifacts-as-clues.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Ultrasound Artifacts as Clues: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
"Documentation, Storage, and QA",documentation-storage-qa,/pocus/roadmap/documentation-storage-qa,Beginner Roadmap,roadmap/documentation-storage-qa.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Documentation, Storage, and QA: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
POCUS in the Undifferentiated Shock Patient,pocus-shock-first-look,/pocus/roadmap/pocus-shock-first-look,Beginner Roadmap,roadmap/pocus-shock-first-look.md,"High-quality annotated educational ultrasound diagram/clip placeholder for POCUS in the Undifferentiated Shock Patient: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
POCUS Should Not Delay Life-Saving Action,pocus-must-not-delay-action,/pocus/roadmap/pocus-must-not-delay-action,Beginner Roadmap,roadmap/pocus-must-not-delay-action.md,"High-quality annotated educational ultrasound diagram/clip placeholder for POCUS Should Not Delay Life-Saving Action: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
False Positives and False Negatives,false-positive-false-negative,/pocus/roadmap/false-positive-false-negative,Beginner Roadmap,roadmap/false-positive-false-negative.md,"High-quality annotated educational ultrasound diagram/clip placeholder for False Positives and False Negatives: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Image Quality Checklist,image-quality-checklist,/pocus/roadmap/image-quality-checklist,Beginner Roadmap,roadmap/image-quality-checklist.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Image Quality Checklist: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
Building a POCUS Habit in SEG,building-pocus-habit,/pocus/roadmap/building-pocus-habit,Beginner Roadmap,roadmap/building-pocus-habit.md,"High-quality annotated educational ultrasound diagram/clip placeholder for Building a POCUS Habit in SEG: probe, patient position, target anatomy, normal vs abnormal finding.",Rosen Q&A Emergency Ultrasound + Tintinalli POCUS mapping; final local credentialing/QA verification required.
