title,slug,category,module_order,path,source_basis,dose_status,setting_status,needs_final_medical_audit,has_arabic_simplification,has_assessment_question
Airway Mindset in the Emergency Department,airway-mindset,Roadmap,1,content/roadmap/airway-mindset.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Oxygenation vs Ventilation,oxygenation-vs-ventilation,Roadmap,2,content/roadmap/oxygenation-vs-ventilation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Basic Airway Maneuvers,basic-airway-maneuvers,Roadmap,3,content/roadmap/basic-airway-maneuvers.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
BVM Thinking and Mask Seal,bvm-thinking-and-mask-seal,Roadmap,4,content/roadmap/bvm-thinking-and-mask-seal.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Preoxygenation and Denitrogenation,preoxygenation-denitrogenation,Roadmap,5,content/roadmap/preoxygenation-denitrogenation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Apneic Oxygenation,apneic-oxygenation,Roadmap,6,content/roadmap/apneic-oxygenation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Difficult Airway Prediction,difficult-airway-prediction,Roadmap,7,content/roadmap/difficult-airway-prediction.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
RSI Overview,rsi-overview,Roadmap,8,content/roadmap/rsi-overview.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Post-Intubation Confirmation,post-intubation-confirmation,Roadmap,9,content/roadmap/post-intubation-confirmation.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Ventilator First Look,ventilator-first-look,Roadmap,10,content/roadmap/ventilator-first-look.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
Need for an Artificial Airway,need-for-artificial-airway,Airway,11,content/airway/need-for-artificial-airway.md,Rosen's EM 10e Q&A primary; Tintinalli secondary when relevant; final local verification required,EDUCATIONAL_DRAFT_IF_INCLUDED,EDUCATIONAL_DRAFT_IF_INCLUDED,True,True,True
