id,title,type,category,path,file,summary
emergency-case-thinking-framework,Emergency Case Thinking Framework,roadmap,roadmap,/emergency-cases/roadmap/emergency-case-thinking-framework,content/roadmap/emergency-case-thinking-framework.md,"How to read an ED case: identify instability, name the life threat, act first, then refine the diagnosis."
first-60-seconds,The First 60 Seconds,roadmap,roadmap,/emergency-cases/roadmap/first-60-seconds,content/roadmap/first-60-seconds.md,"A focused mental script for arrival: sick/not sick, airway, breathing, circulation, disability, exposure, and immediate rescue actions."
what-can-kill-now,What Can Kill the Patient Now?,roadmap,roadmap,/emergency-cases/roadmap/what-can-kill-now,content/roadmap/what-can-kill-now.md,A red-flag lens that converts long differentials into immediate threats requiring rapid recognition.
chief-complaint-pathways,Chief Complaint Pathways,roadmap,roadmap,/emergency-cases/roadmap/chief-complaint-pathways,content/roadmap/chief-complaint-pathways.md,"How chest pain, dyspnea, shock, AMS, trauma, pediatric, toxicology, and OB/GYN presentations map to major killers."
resuscitation-before-diagnosis,Resuscitation Before Diagnosis,roadmap,roadmap,/emergency-cases/roadmap/resuscitation-before-diagnosis,content/roadmap/resuscitation-before-diagnosis.md,Why unstable physiology is treated while the exact label is still being clarified.
ecg-pocus-labs-in-cases,"ECG, POCUS, and Labs in ED Cases",roadmap,roadmap,/emergency-cases/roadmap/ecg-pocus-labs-in-cases,content/roadmap/ecg-pocus-labs-in-cases.md,"How to use ECG, bedside ultrasound, and critical labs as decision accelerators, not decorative tests."
disposition-thinking,Disposition Thinking,roadmap,roadmap,/emergency-cases/roadmap/disposition-thinking,content/roadmap/disposition-thinking.md,"How to decide who needs resuscitation bay, monitored bed, admission, urgent specialty involvement, or safe discharge planning."
handover-and-consult-logic,Handover and Consult Logic,roadmap,roadmap,/emergency-cases/roadmap/handover-and-consult-logic,content/roadmap/handover-and-consult-logic.md,"How to communicate the case: one-line diagnosis, current threat, actions completed, pending decisions, and escalation need."
pitfalls-and-cognitive-errors,Pitfalls and Cognitive Errors,roadmap,roadmap,/emergency-cases/roadmap/pitfalls-and-cognitive-errors,content/roadmap/pitfalls-and-cognitive-errors.md,"Common misses: anchoring, premature closure, normal vital sign bias, single-diagnosis thinking, and false reassurance."
seg-case-page-template,SEG Case Page Template,roadmap,roadmap,/emergency-cases/roadmap/seg-case-page-template,content/roadmap/seg-case-page-template.md,The reusable structure for every case page in this package.
stemi-omi-chest-pain,STEMI / OMI Chest Pain,case,chest-pain,/emergency-cases/chest-pain/stemi-omi-chest-pain,content/cases/chest-pain/stemi-omi-chest-pain.md,An occluded coronary artery causing ongoing myocardial necrosis and malignant dysrhythmia.
aortic-dissection-mimicking-acs,Aortic Dissection Mimicking ACS,case,chest-pain,/emergency-cases/chest-pain/aortic-dissection-mimicking-acs,content/cases/chest-pain/aortic-dissection-mimicking-acs.md,"Aortic rupture, tamponade, stroke, or catastrophic bleeding if anticoagulation is given blindly."
