Module,Route,Content File,Core Sources,Used For,Safety Boundary,Risk Level,Needs Medical Review
GP Hub,/gp,00_gp_hub.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,Moderate,Yes
Emergency Red Flags,/gp/red-flags,01_gp_emergency_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Chest Pain,/gp/chest-pain,02_chest_pain_primary_care.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,Critical,Yes
Shortness of Breath,/gp/dyspnea,03_shortness_of_breath_primary_care.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,Critical,Yes
Headache & Neurology,/gp/headache-neuro,04_headache_neurologic_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Abdominal Pain,/gp/abdominal-pain,05_abdominal_pain_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Fever / Sepsis,/gp/fever-sepsis,06_fever_sepsis_recognition.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Pediatric Danger Signs,/gp/pediatric-danger,07_pediatric_danger_signs.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Pregnancy / Postpartum,/gp/pregnancy-postpartum,08_pregnancy_postpartum_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,Critical,Yes
Syncope / Palpitations,/gp/syncope-palpitations,09_syncope_palpitations.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Trauma Referral,/gp/trauma-referral,10_trauma_referral_basics.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Toxicology / Overdose,/gp/toxicology-overdose,11_toxicology_overdose_recognition.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,Critical,Yes
ECG Danger,/gp/ecg-danger,12_ecg_danger_recognition_for_gp.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,Critical,Yes
Diabetes / Metabolic,/gp/diabetes-metabolic,13_diabetes_metabolic_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Hypertension,/gp/hypertension,14_hypertension_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Back Pain,/gp/back-pain,15_back_pain_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Eye / ENT / Dental,/gp/eye-ent-dental,16_eye_ent_dental_emergencies.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Dermatology Red Flags,/gp/dermatology-red-flags,17_dermatology_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Urology / Testicular,/gp/urology-testicular,18_urology_testicular_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Vomiting / Dehydration,/gp/vomiting-dehydration,19_vomiting_diarrhea_dehydration.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Burns / Bites / Wounds,/gp/burns-bites-wounds,20_burns_bites_wounds.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Elderly / Frailty,/gp/elderly-frailty,21_elderly_frailty_red_flags.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Mental Health / Self-Harm,/gp/mental-health-self-harm,22_mental_health_self_harm_safety.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes
Referral / Handover,/gp/referral-handover,23_referral_handover_to_ed.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,Moderate,Yes
Safety-Netting,/gp/safety-netting,24_gp_safety_netting.md,Tintinalli 2023 + Rosen Q&A + Rosh Rapid Review,Emergency concepts/red flags/exam traps/referral framing,No copied text; no protocol; no doses,High,Yes

