Question,Topic,Answer,Explanation
1,Professionalism,B,Students must identify themselves clearly and obtain consent before history or examination.
2,Professionalism,B,Patient confidentiality applies in all spaces; public discussion is unsafe.
3,Consent,B,Patients have the right to refuse student involvement.
4,History Taking,B,Chest pain with sweating and dyspnea requires urgent senior attention.
5,History Taking,B,"A good student summary highlights the problem, timing, danger features, and relevant background."
6,Physical Exam,B,Deterioration must be reported immediately.
7,Vitals,B,"Vitals are clinical clues, not just numbers."
8,ABCDE,B,Students should recognize danger and escalate under supervision.
9,Red Flags,B,Thunderclap headache is a dangerous presentation.
10,Red Flags,B,"Pediatric lethargy, poor feeding, and reduced urine are red flags."
11,ED Observation,B,ED learning should focus on danger recognition and clinical reasoning.
12,Clinical Reasoning,B,Safe reasoning considers danger before reassurance.
13,Clinical Reasoning,B,Premature closure is a common diagnostic error.
14,OSCE,B,"Safe OSCE technique begins with identity, consent, hygiene, and privacy."
15,OSCE,B,Emergency OSCEs prioritize safety and ABCDE recognition.
16,Case Presentation,B,Presentations should communicate clinical concern clearly.
17,Labs,B,Tests must be interpreted in clinical context.
18,ECG,B,High-risk ECG concerns require senior review.
19,Imaging,B,Imaging supports a clinical question; students should not overclaim.
20,Medication Safety,B,Students learn medication safety but do not prescribe independently.
21,Medication Safety,A,Opioids and sedatives can affect breathing and consciousness.
22,Infection Control,B,Hand hygiene and PPE rules protect patients and staff.
23,Needlestick,B,Occupational exposure must be reported immediately.
24,Pediatrics,A,Caregiver concern can be clinically important.
25,Pediatrics,B,Pediatric assessment requires age-specific danger recognition.
26,OBGYN,A,Pregnancy-related emergencies must be considered.
27,OBGYN,A,Pregnancy red flags require urgent supervisor involvement.
28,Mental Health,B,Self-harm risk must be escalated and not kept secret.
29,Mental Health,A,Agitation with abnormal physiology may be medical/toxicologic.
30,Primary Care,B,"Primary care teaches prevention, chronic disease, referral, and public health."
31,Community,A,Reflection should focus on clinical learning without identifiers.
32,ED Logbook,B,Logbooks should protect privacy and capture learning points.
33,Research,A,PICO helps structure evidence-based questions.
34,Research Ethics,B,Students must avoid plagiarism and cite sources.
35,Internship Readiness,B,Safe interns know limits and escalate early.
36,Internship Readiness,A,Clear presentation is essential for supervised clinical work.
37,Trauma,A,Mechanism and patient appearance guide danger recognition.
38,Sepsis,A,Elderly patients may show serious infection with confusion and weakness.
39,Toxicology,A,Overdose may be delayed and intentional ingestion needs urgent safety assessment.
40,Anaphylaxis,A,Systemic allergic features may threaten airway/circulation.
41,Syncope,A,Exertional syncope requires urgent attention.
42,Back Pain,A,These are neurologic red flags.
43,Dermatology,A,Mucosal involvement may signal a severe reaction.
44,Urology,A,Testicular torsion is time-sensitive and must be reported.
45,Hypertension,A,Symptoms matter more than the number alone.
46,Communication,A,Acknowledging uncertainty and escalating is safe.
47,Safeguarding,A,Safeguarding concerns must be reported.
48,Documentation,A,Documentation must be accurate and follow rules.
49,Learning Strategy,A,A focused question helps convert observation into learning.
50,Student Limits,A,Students must work within supervised roles.
