Module,Route,Content File,Source Basis,Used For,Safety Boundary,Risk Level,Needs Medical Review
Students Hub,/students,00_students_hub.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Moderate,Yes if high risk
Jordan Roadmap,/students/roadmap,01_jordan_medical_student_roadmap.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Moderate,Yes if high risk
Preclinical Bridge,/students/preclinical-bridge,02_preclinical_to_clinical_bridge.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Low,Yes if high risk
Hospital/MOH Clinical Environment,/students/clinical-environment,03_hospital_moh_clinical_environment.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Moderate,Yes if high risk
Professionalism/Consent,/students/professionalism,04_professionalism_consent_patient_safety.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Moderate,Yes if high risk
History Taking,/students/history-taking,05_history_taking_framework.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Low,Yes if high risk
Physical Exam,/students/physical-exam,06_physical_examination_framework.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Moderate,Yes if high risk
Vitals/ABCDE,/students/vitals-abcde,07_vitals_abcde_for_students.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,High,Yes if high risk
Red Flags,/students/red-flags,08_red_flags_students_must_know.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,High,Yes if high risk
Common ED Presentations,/students/ed-presentations,09_common_ed_presentations_for_students.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,High,Yes if high risk
OSCE Survival,/students/osce,10_osce_survival.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Low,Yes if high risk
Case Presentation,/students/case-presentation,11_case_presentation_oral_handover.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Low,Yes if high risk
Clinical Reasoning,/students/clinical-reasoning,12_clinical_reasoning_basics.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Moderate,Yes if high risk
Labs/ECG/Imaging,/students/labs-ecg-imaging,13_labs_ecg_imaging_basics.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,High,Yes if high risk
Medication Safety,/students/medication-safety,14_medication_safety_for_students.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,High,Yes if high risk
Infection Prevention,/students/infection-prevention,15_infection_prevention_ppe.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,Moderate,Yes if high risk
Pediatrics,/students/pediatrics,16_pediatrics_for_students.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,High,Yes if high risk
OBGYN/Pregnancy,/students/obgyn-red-flags,17_obgyn_pregnancy_red_flags.md,MOH Jordan context + Jordan public university medical education context + Tintinalli/Rosen/Rosh,Student learning objectives/red flags/clinical reasoning/supervised role,No official curriculum claim; no treatment protocol; no doses,High,Yes if high risk
