title,slug,category,suggested_visual,visual_safety_rule
Toxicology ED Approach: The First 5 Minutes,tox-ed-approach-first-5-minutes,roadmap,Educational schematic for Toxicology ED Approach: The First 5 Minutes with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
ABCDE in the Poisoned Patient,abcde-in-poisoning,roadmap,Educational schematic for ABCDE in the Poisoned Patient with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Toxidrome Recognition: Pattern Before Poison Name,toxidrome-recognition,roadmap,Educational schematic for Toxidrome Recognition: Pattern Before Poison Name with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Toxicology History: The Minimum Useful Dataset,toxicology-history-minimum-dataset,roadmap,Educational schematic for Toxicology History: The Minimum Useful Dataset with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Initial Investigations in Poisoning,initial-investigations-poisoning,roadmap,Educational schematic for Initial Investigations in Poisoning with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
ECG in Poisoning,ecg-in-poisoning,roadmap,Educational schematic for ECG in Poisoning with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Decontamination Basics,decontamination-basics,roadmap,Educational schematic for Decontamination Basics with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Enhanced Elimination Basics,enhanced-elimination-basics,roadmap,Educational schematic for Enhanced Elimination Basics with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Antidote Thinking: When the Antidote Matters,antidote-thinking,roadmap,Educational schematic for Antidote Thinking: When the Antidote Matters with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Disposition Logic in Toxicology,disposition-logic-toxicology,roadmap,Educational schematic for Disposition Logic in Toxicology with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Opioid Toxidrome,opioid-toxidrome,toxidromes,"Toxidrome comparison card for Opioid Toxidrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Sedative-Hypnotic Toxidrome,sedative-hypnotic-toxidrome,toxidromes,"Toxidrome comparison card for Sedative-Hypnotic Toxidrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Sympathomimetic Toxidrome,sympathomimetic-toxidrome,toxidromes,"Toxidrome comparison card for Sympathomimetic Toxidrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Anticholinergic Toxidrome,anticholinergic-toxidrome,toxidromes,"Toxidrome comparison card for Anticholinergic Toxidrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Cholinergic / Organophosphate Toxidrome,cholinergic-organophosphate-toxidrome,toxidromes,"Toxidrome comparison card for Cholinergic / Organophosphate Toxidrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Serotonin Syndrome,serotonin-syndrome-toxidrome,toxidromes,"Toxidrome comparison card for Serotonin Syndrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Neuroleptic Malignant Syndrome,neuroleptic-malignant-syndrome-toxidrome,toxidromes,"Toxidrome comparison card for Neuroleptic Malignant Syndrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Salicylate Pattern,salicylate-pattern-toxidrome,toxidromes,"Toxidrome comparison card for Salicylate Pattern: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Sodium-Channel Blocker Pattern,sodium-channel-blocker-pattern,toxidromes,"Toxidrome comparison card for Sodium-Channel Blocker Pattern: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Caustic Ingestion,caustic-ingestion,poisonings,Educational schematic for Caustic Ingestion with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Isoniazid Toxicity,isoniazid-toxicity,poisonings,Educational schematic for Isoniazid Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Cardiac Glycoside / Digoxin Toxicity,digoxin-cardiac-glycoside-toxicity,poisonings,Educational schematic for Cardiac Glycoside / Digoxin Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Alcoholic Ketoacidosis,alcoholic-ketoacidosis,poisonings,Educational schematic for Alcoholic Ketoacidosis with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Chlorine Exposure,chlorine-exposure,poisonings,Educational schematic for Chlorine Exposure with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
Organophosphate Poisoning,organophosphate-poisoning,poisonings,Educational schematic for Organophosphate Poisoning with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.
