pack_key,pack_name,title,slug,section,route,source_basis,file_path,image_brief_status
ecg,ECG Essentials,What Is an ECG?,what-is-an-ecg,ECG Beginner Roadmap,/ecg/beginner-roadmap/what-is-an-ecg,,content/ecg/beginner-roadmap/what-is-an-ecg.md,covered
ecg,ECG Essentials,"Paper, Grid, and Calibration",paper-grid-and-calibration,ECG Beginner Roadmap,/ecg/beginner-roadmap/paper-grid-and-calibration,,content/ecg/beginner-roadmap/paper-grid-and-calibration.md,covered
ecg,ECG Essentials,Heart Rate Calculation,heart-rate-calculation,ECG Beginner Roadmap,/ecg/beginner-roadmap/heart-rate-calculation,,content/ecg/beginner-roadmap/heart-rate-calculation.md,covered
ecg,ECG Essentials,Rhythm Analysis,rhythm-analysis,ECG Beginner Roadmap,/ecg/beginner-roadmap/rhythm-analysis,,content/ecg/beginner-roadmap/rhythm-analysis.md,covered
ecg,ECG Essentials,Cardiac Axis,cardiac-axis,ECG Beginner Roadmap,/ecg/beginner-roadmap/cardiac-axis,,content/ecg/beginner-roadmap/cardiac-axis.md,covered
ecg,ECG Essentials,"Intervals: PR, QRS, QT",intervals-pr-qrs-qt,ECG Beginner Roadmap,/ecg/beginner-roadmap/intervals-pr-qrs-qt,,content/ecg/beginner-roadmap/intervals-pr-qrs-qt.md,covered
ecg,ECG Essentials,"Waveforms: P, QRS, ST, T, U",waveforms-p-qrs-st-t-u,ECG Beginner Roadmap,/ecg/beginner-roadmap/waveforms-p-qrs-st-t-u,,content/ecg/beginner-roadmap/waveforms-p-qrs-st-t-u.md,covered
ecg,ECG Essentials,ST-T Changes,st-t-changes,ECG Beginner Roadmap,/ecg/beginner-roadmap/st-t-changes,,content/ecg/beginner-roadmap/st-t-changes.md,covered
ecg,ECG Essentials,Final 5-Step ECG Interpretation,final-5-step-ecg-interpretation,ECG Beginner Roadmap,/ecg/beginner-roadmap/final-5-step-ecg-interpretation,,content/ecg/beginner-roadmap/final-5-step-ecg-interpretation.md,covered
ecg,ECG Essentials,Ventricular Fibrillation (VF),ventricular-fibrillation-vf,Never-Miss ECG Patterns,/ecg/never-miss/ventricular-fibrillation-vf,,content/ecg/never-miss/ventricular-fibrillation-vf.md,covered
ecg,ECG Essentials,Pulseless Ventricular Tachycardia,pulseless-ventricular-tachycardia,Never-Miss ECG Patterns,/ecg/never-miss/pulseless-ventricular-tachycardia,,content/ecg/never-miss/pulseless-ventricular-tachycardia.md,covered
ecg,ECG Essentials,STEMI / Occlusion MI Pattern,stemi-occlusion-mi-pattern,Never-Miss ECG Patterns,/ecg/never-miss/stemi-occlusion-mi-pattern,,content/ecg/never-miss/stemi-occlusion-mi-pattern.md,covered
ecg,ECG Essentials,Hyperkalemia ECG Pattern,hyperkalemia-ecg-pattern,Never-Miss ECG Patterns,/ecg/never-miss/hyperkalemia-ecg-pattern,,content/ecg/never-miss/hyperkalemia-ecg-pattern.md,covered
ecg,ECG Essentials,Brugada Type 1 Pattern,brugada-type-1-pattern,Never-Miss ECG Patterns,/ecg/never-miss/brugada-type-1-pattern,,content/ecg/never-miss/brugada-type-1-pattern.md,covered
ecg,ECG Essentials,Wellens Syndrome,wellens-syndrome,Never-Miss ECG Patterns,/ecg/never-miss/wellens-syndrome,,content/ecg/never-miss/wellens-syndrome.md,covered
ecg,ECG Essentials,Complete Heart Block,complete-heart-block,Never-Miss ECG Patterns,/ecg/never-miss/complete-heart-block,,content/ecg/never-miss/complete-heart-block.md,covered
ecg,ECG Essentials,Wide-Complex Tachycardia,wide-complex-tachycardia,Never-Miss ECG Patterns,/ecg/never-miss/wide-complex-tachycardia,,content/ecg/never-miss/wide-complex-tachycardia.md,covered
ecg,ECG Essentials,Normal Sinus Rhythm,normal-sinus-rhythm,ECG Atlas,/ecg/atlas/normal-sinus-rhythm,,content/ecg/atlas/normal-sinus-rhythm.md,covered
ecg,ECG Essentials,Sinus Bradycardia,sinus-bradycardia,ECG Atlas,/ecg/atlas/sinus-bradycardia,,content/ecg/atlas/sinus-bradycardia.md,covered
ecg,ECG Essentials,Sinus Tachycardia,sinus-tachycardia,ECG Atlas,/ecg/atlas/sinus-tachycardia,,content/ecg/atlas/sinus-tachycardia.md,covered
ecg,ECG Essentials,Atrial Fibrillation,atrial-fibrillation,ECG Atlas,/ecg/atlas/atrial-fibrillation,,content/ecg/atlas/atrial-fibrillation.md,covered
ecg,ECG Essentials,Atrial Flutter,atrial-flutter,ECG Atlas,/ecg/atlas/atrial-flutter,,content/ecg/atlas/atrial-flutter.md,covered
ecg,ECG Essentials,SVT / AVNRT,svt-avnrt,ECG Atlas,/ecg/atlas/svt-avnrt,,content/ecg/atlas/svt-avnrt.md,covered
ecg,ECG Essentials,Ventricular Tachycardia,ventricular-tachycardia,ECG Atlas,/ecg/atlas/ventricular-tachycardia,,content/ecg/atlas/ventricular-tachycardia.md,covered
ecg,ECG Essentials,Ventricular Fibrillation,ventricular-fibrillation,ECG Atlas,/ecg/atlas/ventricular-fibrillation,,content/ecg/atlas/ventricular-fibrillation.md,covered
ecg,ECG Essentials,Asystole,asystole,ECG Atlas,/ecg/atlas/asystole,,content/ecg/atlas/asystole.md,covered
ecg,ECG Essentials,First-Degree AV Block,first-degree-av-block,ECG Atlas,/ecg/atlas/first-degree-av-block,,content/ecg/atlas/first-degree-av-block.md,covered
ecg,ECG Essentials,Second-Degree AV Block: Mobitz I,second-degree-av-block-mobitz-i,ECG Atlas,/ecg/atlas/second-degree-av-block-mobitz-i,,content/ecg/atlas/second-degree-av-block-mobitz-i.md,covered
ecg,ECG Essentials,Second-Degree AV Block: Mobitz II,second-degree-av-block-mobitz-ii,ECG Atlas,/ecg/atlas/second-degree-av-block-mobitz-ii,,content/ecg/atlas/second-degree-av-block-mobitz-ii.md,covered
ecg,ECG Essentials,Complete Heart Block,complete-heart-block,ECG Atlas,/ecg/atlas/complete-heart-block,,content/ecg/atlas/complete-heart-block.md,covered
ecg,ECG Essentials,Right Bundle Branch Block,right-bundle-branch-block,ECG Atlas,/ecg/atlas/right-bundle-branch-block,,content/ecg/atlas/right-bundle-branch-block.md,covered
ecg,ECG Essentials,Left Bundle Branch Block,left-bundle-branch-block,ECG Atlas,/ecg/atlas/left-bundle-branch-block,,content/ecg/atlas/left-bundle-branch-block.md,covered
ecg,ECG Essentials,Left Anterior Fascicular Block,left-anterior-fascicular-block,ECG Atlas,/ecg/atlas/left-anterior-fascicular-block,,content/ecg/atlas/left-anterior-fascicular-block.md,covered
ecg,ECG Essentials,Wolff-Parkinson-White Pattern,wolff-parkinson-white-pattern,ECG Atlas,/ecg/atlas/wolff-parkinson-white-pattern,,content/ecg/atlas/wolff-parkinson-white-pattern.md,covered
ecg,ECG Essentials,Anterior STEMI / OMI,anterior-stemi-omi,ECG Atlas,/ecg/atlas/anterior-stemi-omi,,content/ecg/atlas/anterior-stemi-omi.md,covered
ecg,ECG Essentials,Inferior STEMI and Right Ventricular Involvement,inferior-stemi-and-right-ventricular-involvement,ECG Atlas,/ecg/atlas/inferior-stemi-and-right-ventricular-involvement,,content/ecg/atlas/inferior-stemi-and-right-ventricular-involvement.md,covered
ecg,ECG Essentials,Posterior MI,posterior-mi,ECG Atlas,/ecg/atlas/posterior-mi,,content/ecg/atlas/posterior-mi.md,covered
ecg,ECG Essentials,Pericarditis Pattern,pericarditis-pattern,ECG Atlas,/ecg/atlas/pericarditis-pattern,,content/ecg/atlas/pericarditis-pattern.md,covered
ecg,ECG Essentials,Benign Early Repolarization,benign-early-repolarization,ECG Atlas,/ecg/atlas/benign-early-repolarization,,content/ecg/atlas/benign-early-repolarization.md,covered
ecg,ECG Essentials,Hyperkalemia,hyperkalemia,ECG Atlas,/ecg/atlas/hyperkalemia,,content/ecg/atlas/hyperkalemia.md,covered
ecg,ECG Essentials,Hypokalemia,hypokalemia,ECG Atlas,/ecg/atlas/hypokalemia,,content/ecg/atlas/hypokalemia.md,covered
ecg,ECG Essentials,Calcium and QT Changes,calcium-and-qt-changes,ECG Atlas,/ecg/atlas/calcium-and-qt-changes,,content/ecg/atlas/calcium-and-qt-changes.md,covered
ecg,ECG Essentials,Long QT and Torsades Risk,long-qt-and-torsades-risk,ECG Atlas,/ecg/atlas/long-qt-and-torsades-risk,,content/ecg/atlas/long-qt-and-torsades-risk.md,covered
ecg,ECG Essentials,Brugada Pattern,brugada-pattern,ECG Atlas,/ecg/atlas/brugada-pattern,,content/ecg/atlas/brugada-pattern.md,covered
ecg,ECG Essentials,Wellens Pattern,wellens-pattern,ECG Atlas,/ecg/atlas/wellens-pattern,,content/ecg/atlas/wellens-pattern.md,covered
ecg,ECG Essentials,De Winter Pattern,de-winter-pattern,ECG Atlas,/ecg/atlas/de-winter-pattern,,content/ecg/atlas/de-winter-pattern.md,covered
ecg,ECG Essentials,Left Main / Proximal LAD Ischemia Pattern,left-main-proximal-lad-ischemia-pattern,ECG Atlas,/ecg/atlas/left-main-proximal-lad-ischemia-pattern,,content/ecg/atlas/left-main-proximal-lad-ischemia-pattern.md,covered
ecg,ECG Essentials,Pulmonary Embolism ECG Clues,pulmonary-embolism-ecg-clues,ECG Atlas,/ecg/atlas/pulmonary-embolism-ecg-clues,,content/ecg/atlas/pulmonary-embolism-ecg-clues.md,covered
ecg,ECG Essentials,TCA Toxicity ECG Pattern,tca-toxicity-ecg-pattern,ECG Atlas,/ecg/atlas/tca-toxicity-ecg-pattern,,content/ecg/atlas/tca-toxicity-ecg-pattern.md,covered
ecg,ECG Essentials,Digoxin Effect and Toxicity Clues,digoxin-effect-and-toxicity-clues,ECG Atlas,/ecg/atlas/digoxin-effect-and-toxicity-clues,,content/ecg/atlas/digoxin-effect-and-toxicity-clues.md,covered
ecg,ECG Essentials,Pacemaker Rhythm,pacemaker-rhythm,ECG Atlas,/ecg/atlas/pacemaker-rhythm,,content/ecg/atlas/pacemaker-rhythm.md,covered
ecg,ECG Essentials,ECG Practice MCQ Bank,mcq-bank,ECG Practice,/ecg/practice/mcq-bank,,content/ecg/practice/mcq-bank.md,covered
ecg,ECG Essentials,ECG Mini Cases,mini-cases,ECG Practice,/ecg/practice/mini-cases,,content/ecg/practice/mini-cases.md,covered
ecg,ECG Essentials,Rapid ECG Prompts,rapid-prompts,ECG Practice,/ecg/practice/rapid-prompts,,content/ecg/practice/rapid-prompts.md,covered
toxicology,Toxicology Essentials,Toxicology ED Approach: The First 5 Minutes,tox-ed-approach-first-5-minutes,roadmap,/toxicology/roadmap/tox-ed-approach-first-5-minutes,,content/00_roadmap/01_tox-ed-approach-first-5-minutes.md,covered
toxicology,Toxicology Essentials,ABCDE in the Poisoned Patient,abcde-in-poisoning,roadmap,/toxicology/roadmap/abcde-in-poisoning,,content/00_roadmap/02_abcde-in-poisoning.md,covered
toxicology,Toxicology Essentials,Toxidrome Recognition: Pattern Before Poison Name,toxidrome-recognition,roadmap,/toxicology/roadmap/toxidrome-recognition,,content/00_roadmap/03_toxidrome-recognition.md,covered
