route,title,image_brief,recommended_style,copyright_note
/pocus/roadmap/what-is-pocus,What POCUS Is—and Is Not,"High-quality annotated educational ultrasound diagram/clip placeholder for What POCUS Is—and Is Not: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/roadmap/machine-probe-screen-basics,"Machine, Probe, and Screen Basics","High-quality annotated educational ultrasound diagram/clip placeholder for Machine, Probe, and Screen Basics: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/roadmap/probe-marker-orientation,Probe Marker and Image Orientation,"High-quality annotated educational ultrasound diagram/clip placeholder for Probe Marker and Image Orientation: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/roadmap/artifacts-as-clues,Ultrasound Artifacts as Clues,"High-quality annotated educational ultrasound diagram/clip placeholder for Ultrasound Artifacts as Clues: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/roadmap/documentation-storage-qa,"Documentation, Storage, and QA","High-quality annotated educational ultrasound diagram/clip placeholder for Documentation, Storage, and QA: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/roadmap/pocus-shock-first-look,POCUS in the Undifferentiated Shock Patient,"High-quality annotated educational ultrasound diagram/clip placeholder for POCUS in the Undifferentiated Shock Patient: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/roadmap/pocus-must-not-delay-action,POCUS Should Not Delay Life-Saving Action,"High-quality annotated educational ultrasound diagram/clip placeholder for POCUS Should Not Delay Life-Saving Action: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/roadmap/false-positive-false-negative,False Positives and False Negatives,"High-quality annotated educational ultrasound diagram/clip placeholder for False Positives and False Negatives: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/roadmap/image-quality-checklist,Image Quality Checklist,"High-quality annotated educational ultrasound diagram/clip placeholder for Image Quality Checklist: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/roadmap/building-pocus-habit,Building a POCUS Habit in SEG,"High-quality annotated educational ultrasound diagram/clip placeholder for Building a POCUS Habit in SEG: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/curvilinear-probe,Curvilinear Probe,"High-quality annotated educational ultrasound diagram/clip placeholder for Curvilinear Probe: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/linear-probe,Linear Probe,"High-quality annotated educational ultrasound diagram/clip placeholder for Linear Probe: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
/pocus/core/phased-array-probe,Phased Array Probe,"High-quality annotated educational ultrasound diagram/clip placeholder for Phased Array Probe: probe, patient position, target anatomy, normal vs abnormal finding.",original SEG annotated schematic or locally licensed ultrasound clip,Do not use copyrighted textbook figures directly without permission.
