slug,title,image_type,description,licensing_note
airway-mindset,Airway Mindset in the Emergency Department,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
oxygenation-vs-ventilation,Oxygenation vs Ventilation,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
basic-airway-maneuvers,Basic Airway Maneuvers,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
bvm-thinking-and-mask-seal,BVM Thinking and Mask Seal,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
preoxygenation-denitrogenation,Preoxygenation and Denitrogenation,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
apneic-oxygenation,Apneic Oxygenation,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
difficult-airway-prediction,Difficult Airway Prediction,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
rsi-overview,RSI Overview,RSI medication/sequence card,"Original infographic showing medication role, caution, and verification status.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
post-intubation-confirmation,Post-Intubation Confirmation,Airway anatomy / decision-flow schematic,"Original educational drawing: airway positioning, BVM seal, tube confirmation, or failed airway flow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
ventilator-first-look,Ventilator First Look,Ventilator waveform / settings schematic,"Simple original schematic: ventilator mode/settings panel, pressure/flow waveform, or alarm workflow.",Use original SEG illustrations or licensed/open images only; avoid copyrighted textbook screenshots.
