pack,title,slug,category,suggested_visual,visual_safety_rule,id,image_type,brief,copyright_status,recommended_visual,must_avoid,source_status,notes,description,licensing_note,route,image_brief,recommended_style,copyright_note
Toxicology Essentials,Toxicology ED Approach: The First 5 Minutes,tox-ed-approach-first-5-minutes,roadmap,Educational schematic for Toxicology ED Approach: The First 5 Minutes with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,ABCDE in the Poisoned Patient,abcde-in-poisoning,roadmap,Educational schematic for ABCDE in the Poisoned Patient with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Toxidrome Recognition: Pattern Before Poison Name,toxidrome-recognition,roadmap,Educational schematic for Toxidrome Recognition: Pattern Before Poison Name with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Toxicology History: The Minimum Useful Dataset,toxicology-history-minimum-dataset,roadmap,Educational schematic for Toxicology History: The Minimum Useful Dataset with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Initial Investigations in Poisoning,initial-investigations-poisoning,roadmap,Educational schematic for Initial Investigations in Poisoning with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,ECG in Poisoning,ecg-in-poisoning,roadmap,Educational schematic for ECG in Poisoning with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Decontamination Basics,decontamination-basics,roadmap,Educational schematic for Decontamination Basics with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Enhanced Elimination Basics,enhanced-elimination-basics,roadmap,Educational schematic for Enhanced Elimination Basics with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Antidote Thinking: When the Antidote Matters,antidote-thinking,roadmap,Educational schematic for Antidote Thinking: When the Antidote Matters with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Disposition Logic in Toxicology,disposition-logic-toxicology,roadmap,Educational schematic for Disposition Logic in Toxicology with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Opioid Toxidrome,opioid-toxidrome,toxidromes,"Toxidrome comparison card for Opioid Toxidrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Sedative-Hypnotic Toxidrome,sedative-hypnotic-toxidrome,toxidromes,"Toxidrome comparison card for Sedative-Hypnotic Toxidrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Sympathomimetic Toxidrome,sympathomimetic-toxidrome,toxidromes,"Toxidrome comparison card for Sympathomimetic Toxidrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Anticholinergic Toxidrome,anticholinergic-toxidrome,toxidromes,"Toxidrome comparison card for Anticholinergic Toxidrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Cholinergic / Organophosphate Toxidrome,cholinergic-organophosphate-toxidrome,toxidromes,"Toxidrome comparison card for Cholinergic / Organophosphate Toxidrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Serotonin Syndrome,serotonin-syndrome-toxidrome,toxidromes,"Toxidrome comparison card for Serotonin Syndrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Neuroleptic Malignant Syndrome,neuroleptic-malignant-syndrome-toxidrome,toxidromes,"Toxidrome comparison card for Neuroleptic Malignant Syndrome: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Salicylate Pattern,salicylate-pattern-toxidrome,toxidromes,"Toxidrome comparison card for Salicylate Pattern: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Sodium-Channel Blocker Pattern,sodium-channel-blocker-pattern,toxidromes,"Toxidrome comparison card for Sodium-Channel Blocker Pattern: pupils, skin, vitals, mental status, neuromuscular signs.",Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Caustic Ingestion,caustic-ingestion,poisonings,Educational schematic for Caustic Ingestion with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Isoniazid Toxicity,isoniazid-toxicity,poisonings,Educational schematic for Isoniazid Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Cardiac Glycoside / Digoxin Toxicity,digoxin-cardiac-glycoside-toxicity,poisonings,Educational schematic for Cardiac Glycoside / Digoxin Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Alcoholic Ketoacidosis,alcoholic-ketoacidosis,poisonings,Educational schematic for Alcoholic Ketoacidosis with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Chlorine Exposure,chlorine-exposure,poisonings,Educational schematic for Chlorine Exposure with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Organophosphate Poisoning,organophosphate-poisoning,poisonings,Educational schematic for Organophosphate Poisoning with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Methemoglobinemia,methemoglobinemia,poisonings,Educational schematic for Methemoglobinemia with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,GHB Intoxication,ghb-intoxication,poisonings,Educational schematic for GHB Intoxication with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Wernicke Encephalopathy,wernicke-encephalopathy,poisonings,Educational schematic for Wernicke Encephalopathy with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Lithium Toxicity,lithium-toxicity,poisonings,Educational schematic for Lithium Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Valproate Toxicity,valproate-toxicity,poisonings,Educational schematic for Valproate Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,MDMA / Ecstasy Toxicity,mdma-ecstasy-toxicity,poisonings,Educational schematic for MDMA / Ecstasy Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Iron Toxicity,iron-toxicity,poisonings,Educational schematic for Iron Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Clonidine / Alpha-2 Agonist Toxicity,clonidine-alpha-2-agonist-toxicity,poisonings,Educational schematic for Clonidine / Alpha-2 Agonist Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Tricyclic Antidepressant Toxicity,tricyclic-antidepressant-toxicity,poisonings,Educational schematic for Tricyclic Antidepressant Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Isopropanol Toxicity,isopropanol-toxicity,poisonings,Educational schematic for Isopropanol Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Salicylate Toxicity,salicylate-toxicity,poisonings,Educational schematic for Salicylate Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
Toxicology Essentials,Acetaminophen Toxicity,acetaminophen-toxicity,poisonings,Educational schematic for Acetaminophen Toxicity with toxin → mechanism → ED red flags → common trap.,Use original vector/schematic images or verified open-license visuals only; avoid copyrighted book figures unless permission exists.,,,,,,,,,,,,,,
