id,title,category,recommended_visual,must_avoid
stemi-omi-chest-pain,STEMI / OMI Chest Pain,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for STEMI / OMI Chest Pain,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
aortic-dissection-mimicking-acs,Aortic Dissection Mimicking ACS,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Aortic Dissection Mimicking ACS,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pulmonary-embolism-chest-pain,Pulmonary Embolism Chest Pain,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pulmonary Embolism Chest Pain,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pericarditis-vs-cardiac-tamponade,Pericarditis vs Cardiac Tamponade,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pericarditis vs Cardiac Tamponade,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
esophageal-rupture-after-vomiting,Esophageal Rupture After Vomiting,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Esophageal Rupture After Vomiting,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
tension-pneumothorax-chest-pain,Tension Pneumothorax Chest Pain,chest-pain,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Tension Pneumothorax Chest Pain,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
severe-asthma-near-respiratory-failure,Severe Asthma Near Respiratory Failure,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Severe Asthma Near Respiratory Failure,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
copd-exacerbation-with-hypercapnia,COPD Exacerbation with Hypercapnia,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for COPD Exacerbation with Hypercapnia,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
acute-pulmonary-edema,Acute Pulmonary Edema,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Acute Pulmonary Edema,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
pneumonia-with-sepsis,Pneumonia with Sepsis,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Pneumonia with Sepsis,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
anaphylaxis-with-airway-threat,Anaphylaxis with Airway Threat,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Anaphylaxis with Airway Threat,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
carbon-monoxide-exposure,Carbon Monoxide Exposure,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Carbon Monoxide Exposure,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
upper-airway-obstruction,Upper Airway Obstruction,dyspnea,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Upper Airway Obstruction,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
undifferentiated-shock,Undifferentiated Shock,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Undifferentiated Shock,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
septic-shock,Septic Shock,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Septic Shock,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
hemorrhagic-trauma-shock,Hemorrhagic Trauma Shock,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Hemorrhagic Trauma Shock,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
cardiogenic-shock,Cardiogenic Shock,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Cardiogenic Shock,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
obstructive-shock-from-tamponade,Obstructive Shock from Tamponade,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Obstructive Shock from Tamponade,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
anaphylactic-shock,Anaphylactic Shock,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Anaphylactic Shock,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
adrenal-crisis,Adrenal Crisis,shock,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Adrenal Crisis,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
hypoglycemia-altered-mental-status,Hypoglycemia Altered Mental Status,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Hypoglycemia Altered Mental Status,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
acute-ischemic-stroke,Acute Ischemic Stroke,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Acute Ischemic Stroke,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
intracranial-hemorrhage,Intracranial Hemorrhage,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Intracranial Hemorrhage,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
status-epilepticus,Status Epilepticus,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Status Epilepticus,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
meningitis-encephalitis,Meningitis / Encephalitis,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Meningitis / Encephalitis,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
sepsis-delirium-in-elderly,Sepsis Delirium in Elderly,altered-mental-status,Clean ED case card: chief complaint + key danger + bedside clue + decision pathway for Sepsis Delirium in Elderly,"No graphic gore, no copyrighted textbook figure, no medication doses, no rigid local protocol times"
