id,title,image_type,brief,copyright_status
epinephrine,Epinephrine,educational schematic card,"Create a clean SEG-style educational card for Epinephrine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
norepinephrine,Norepinephrine,educational schematic card,"Create a clean SEG-style educational card for Norepinephrine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
dopamine,Dopamine,educational schematic card,"Create a clean SEG-style educational card for Dopamine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
dobutamine,Dobutamine,educational schematic card,"Create a clean SEG-style educational card for Dobutamine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
vasopressin,Vasopressin,educational schematic card,"Create a clean SEG-style educational card for Vasopressin showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
phenylephrine,Phenylephrine,educational schematic card,"Create a clean SEG-style educational card for Phenylephrine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
adenosine,Adenosine,educational schematic card,"Create a clean SEG-style educational card for Adenosine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
amiodarone,Amiodarone,educational schematic card,"Create a clean SEG-style educational card for Amiodarone showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
lidocaine,Lidocaine,educational schematic card,"Create a clean SEG-style educational card for Lidocaine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
atropine,Atropine,educational schematic card,"Create a clean SEG-style educational card for Atropine showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
magnesium-sulfate,Magnesium Sulfate,educational schematic card,"Create a clean SEG-style educational card for Magnesium Sulfate showing indication, mechanism arrow, key monitor, and caution icon. Avoid copyrighted figures.",new original schematic required
